pax,group,condition,session,trial,rt
sub-control001,control,A,T0,i1,690.2514884582079
sub-control001,control,A,T0,i2,687.2514884582079
sub-control001,control,A,T0,i3,690.2514884582079
sub-control001,control,A,T0,i4,689.2514884582079
sub-control001,control,A,T0,i5,690.2514884582079
sub-control001,control,A,T0,i6,687.2514884582079
sub-control001,control,A,T0,i7,688.2514884582079
sub-control001,control,A,T0,i8,691.2514884582079
sub-control001,control,A,T0,i9,692.2514884582079
sub-control001,control,A,T0,i10,688.2514884582079
sub-control001,control,A,T0,i11,690.2514884582079
sub-control001,control,A,T0,i12,689.2514884582079
sub-control001,control,A,T0,i13,695.2514884582079
sub-control001,control,A,T0,i14,688.2514884582079
sub-control001,control,A,T0,i15,689.2514884582079
sub-control001,control,A,T0,i16,688.2514884582079
sub-control001,control,A,T0,i17,690.2514884582079
sub-control001,control,A,T0,i18,690.2514884582079
sub-control001,control,A,T0,i19,691.2514884582079
sub-control001,control,A,T0,i20,688.2514884582079
sub-control001,control,B,T0,i1,908.7380552742244
sub-control001,control,B,T0,i2,905.7380552742244
sub-control001,control,B,T0,i3,908.7380552742244
sub-control001,control,B,T0,i4,907.7380552742244
sub-control001,control,B,T0,i5,908.7380552742244
sub-control001,control,B,T0,i6,905.7380552742244
sub-control001,control,B,T0,i7,906.7380552742244
sub-control001,control,B,T0,i8,909.7380552742244
sub-control001,control,B,T0,i9,910.7380552742244
sub-control001,control,B,T0,i10,906.7380552742244
sub-control001,control,B,T0,i11,908.7380552742244
sub-control001,control,B,T0,i12,907.7380552742244
sub-control001,control,B,T0,i13,913.7380552742244
sub-control001,control,B,T0,i14,906.7380552742244
sub-control001,control,B,T0,i15,907.7380552742244
sub-control001,control,B,T0,i16,906.7380552742244
sub-control001,control,B,T0,i17,908.7380552742244
sub-control001,control,B,T0,i18,908.7380552742244
sub-control001,control,B,T0,i19,909.7380552742244
sub-control001,control,B,T0,i20,906.7380552742244
sub-test001,test,A,T0,i1,712.5453800771788
sub-test001,test,A,T0,i2,709.5453800771788
sub-test001,test,A,T0,i3,712.5453800771788
sub-test001,test,A,T0,i4,711.5453800771788
sub-test001,test,A,T0,i5,712.5453800771788
sub-test001,test,A,T0,i6,709.5453800771788
sub-test001,test,A,T0,i7,710.5453800771788
sub-test001,test,A,T0,i8,713.5453800771788
sub-test001,test,A,T0,i9,714.5453800771788
sub-test001,test,A,T0,i10,710.5453800771788
sub-test001,test,A,T0,i11,712.5453800771788
sub-test001,test,A,T0,i12,711.5453800771788
sub-test001,test,A,T0,i13,717.5453800771788
sub-test001,test,A,T0,i14,710.5453800771788
sub-test001,test,A,T0,i15,711.5453800771788
sub-test001,test,A,T0,i16,710.5453800771788
sub-test001,test,A,T0,i17,712.5453800771788
sub-test001,test,A,T0,i18,712.5453800771788
sub-test001,test,A,T0,i19,713.5453800771788
sub-test001,test,A,T0,i20,710.5453800771788
sub-test001,test,B,T0,i1,892.4714270391415
sub-test001,test,B,T0,i2,889.4714270391415
sub-test001,test,B,T0,i3,892.4714270391415
sub-test001,test,B,T0,i4,891.4714270391415
sub-test001,test,B,T0,i5,892.4714270391415
sub-test001,test,B,T0,i6,889.4714270391415
sub-test001,test,B,T0,i7,890.4714270391415
sub-test001,test,B,T0,i8,893.4714270391415
sub-test001,test,B,T0,i9,894.4714270391415
sub-test001,test,B,T0,i10,890.4714270391415
sub-test001,test,B,T0,i11,892.4714270391415
sub-test001,test,B,T0,i12,891.4714270391415
sub-test001,test,B,T0,i13,897.4714270391415
sub-test001,test,B,T0,i14,890.4714270391415
sub-test001,test,B,T0,i15,891.4714270391415
sub-test001,test,B,T0,i16,890.4714270391415
sub-test001,test,B,T0,i17,892.4714270391415
sub-test001,test,B,T0,i18,892.4714270391415
sub-test001,test,B,T0,i19,893.4714270391415
sub-test001,test,B,T0,i20,890.4714270391415
sub-control001,control,A,T1,i1,532.1463351509618
sub-control001,control,A,T1,i2,529.1463351509618
sub-control001,control,A,T1,i3,532.1463351509618
sub-control001,control,A,T1,i4,531.1463351509618
sub-control001,control,A,T1,i5,532.1463351509618
sub-control001,control,A,T1,i6,529.1463351509618
sub-control001,control,A,T1,i7,530.1463351509618
sub-control001,control,A,T1,i8,533.1463351509618
sub-control001,control,A,T1,i9,534.1463351509618
sub-control001,control,A,T1,i10,530.1463351509618
sub-control001,control,A,T1,i11,532.1463351509618
sub-control001,control,A,T1,i12,531.1463351509618
sub-control001,control,A,T1,i13,537.1463351509618
sub-control001,control,A,T1,i14,530.1463351509618
sub-control001,control,A,T1,i15,531.1463351509618
