pax,group,session,trial,rt,item
sub-control001,control,T0,trial1,863.7074299985056,item1
sub-control001,control,T0,trial2,863.7074299985056,item1
sub-control001,control,T0,trial3,873.7074299985056,item1
sub-control001,control,T0,trial4,873.7074299985056,item1
sub-control001,control,T0,trial5,873.7074299985056,item1
sub-control001,control,T0,trial6,883.7074299985056,item2
sub-control001,control,T0,trial7,883.7074299985056,item2
sub-control001,control,T0,trial8,883.7074299985056,item2
sub-control001,control,T0,trial9,883.7074299985056,item2
sub-control001,control,T0,trial10,893.7074299985056,item2
sub-control001,control,T0,trial11,893.7074299985056,item3
sub-control001,control,T0,trial12,893.7074299985056,item3
sub-control001,control,T0,trial13,903.7074299985056,item3
sub-control001,control,T0,trial14,903.7074299985056,item3
sub-control001,control,T0,trial15,903.7074299985056,item3
sub-control001,control,T0,trial16,913.7074299985056,item4
sub-control001,control,T0,trial17,913.7074299985056,item4
sub-control001,control,T0,trial18,913.7074299985056,item4
sub-control001,control,T0,trial19,923.7074299985056,item4
sub-control001,control,T0,trial20,943.7074299985056,item4
sub-control001,control,T1,trial1,729.7371918956921,item1
sub-control001,control,T1,trial2,729.7371918956921,item1
sub-control001,control,T1,trial3,739.7371918956921,item1
sub-control001,control,T1,trial4,739.7371918956921,item1
sub-control001,control,T1,trial5,739.7371918956921,item1
sub-control001,control,T1,trial6,749.7371918956921,item2
sub-control001,control,T1,trial7,749.7371918956921,item2
sub-control001,control,T1,trial8,749.7371918956921,item2
sub-control001,control,T1,trial9,749.7371918956921,item2
sub-control001,control,T1,trial10,759.7371918956921,item2
sub-control001,control,T1,trial11,759.7371918956921,item3
sub-control001,control,T1,trial12,759.7371918956921,item3
sub-control001,control,T1,trial13,769.7371918956921,item3
sub-control001,control,T1,trial14,769.7371918956921,item3
sub-control001,control,T1,trial15,769.7371918956921,item3
sub-control001,control,T1,trial16,779.7371918956921,item4
sub-control001,control,T1,trial17,779.7371918956921,item4
sub-control001,control,T1,trial18,779.7371918956921,item4
sub-control001,control,T1,trial19,789.7371918956921,item4
sub-control001,control,T1,trial20,809.7371918956921,item4
sub-test001,test,T0,trial1,864.3124389069578,item1
sub-test001,test,T0,trial2,864.3124389069578,item1
sub-test001,test,T0,trial3,874.3124389069578,item1
sub-test001,test,T0,trial4,874.3124389069578,item1
sub-test001,test,T0,trial5,874.3124389069578,item1
sub-test001,test,T0,trial6,884.3124389069578,item2
sub-test001,test,T0,trial7,884.3124389069578,item2
sub-test001,test,T0,trial8,884.3124389069578,item2
sub-test001,test,T0,trial9,884.3124389069578,item2
sub-test001,test,T0,trial10,894.3124389069578,item2
sub-test001,test,T0,trial11,894.3124389069578,item3
sub-test001,test,T0,trial12,894.3124389069578,item3
sub-test001,test,T0,trial13,904.3124389069578,item3
sub-test001,test,T0,trial14,904.3124389069578,item3
sub-test001,test,T0,trial15,904.3124389069578,item3
sub-test001,test,T0,trial16,914.3124389069578,item4
sub-test001,test,T0,trial17,914.3124389069578,item4
sub-test001,test,T0,trial18,914.3124389069578,item4
sub-test001,test,T0,trial19,924.3124389069578,item4
sub-test001,test,T0,trial20,944.3124389069578,item4
sub-test001,test,T1,trial1,490.88263275193754,item1
sub-test001,test,T1,trial2,490.88263275193754,item1
sub-test001,test,T1,trial3,500.88263275193754,item1
sub-test001,test,T1,trial4,500.88263275193754,item1
sub-test001,test,T1,trial5,500.88263275193754,item1
sub-test001,test,T1,trial6,510.88263275193754,item2
sub-test001,test,T1,trial7,510.88263275193754,item2
sub-test001,test,T1,trial8,510.88263275193754,item2
sub-test001,test,T1,trial9,510.88263275193754,item2
sub-test001,test,T1,trial10,520.8826327519375,item2
sub-test001,test,T1,trial11,520.8826327519375,item3
sub-test001,test,T1,trial12,520.8826327519375,item3
sub-test001,test,T1,trial13,530.8826327519375,item3
sub-test001,test,T1,trial14,530.8826327519375,item3
sub-test001,test,T1,trial15,530.8826327519375,item3
sub-test001,test,T1,trial16,540.8826327519375,item4
sub-test001,test,T1,trial17,540.8826327519375,item4
sub-test001,test,T1,trial18,540.8826327519375,item4
sub-test001,test,T1,trial19,550.8826327519375,item4
sub-test001,test,T1,trial20,570.8826327519375,item4
sub-control002,control,T0,trial1,905.2540369940696,item1
sub-control002,control,T0,trial2,905.2540369940696,item1
sub-control002,control,T0,trial3,915.2540369940696,item1
sub-control002,control,T0,trial4,915.2540369940696,item1
sub-control002,control,T0,trial5,915.2540369940696,item1
sub-control002,control,T0,trial6,925.2540369940696,item2
sub-control002,control,T0,trial7,925.2540369940696,item2
sub-control002,control,T0,trial8,925.2540369940696,item2
sub-control002,control,T0,trial9,925.2540369940696,item2
sub-control002,control,T0,trial10,935.2540369940696,item2
sub-control002,control,T0,trial11,935.2540369940696,item3
sub-control002,control,T0,trial12,935.2540369940696,item3
sub-control002,control,T0,trial13,945.2540369940696,item3
sub-control002,control,T0,trial14,945.2540369940696,item3
sub-control002,control,T0,trial15,945.2540369940696,item3
sub-control002,control,T0,trial16,955.2540369940696,item4
sub-control002,control,T0,trial17,955.2540369940696,item4
sub-control002,control,T0,trial18,955.2540369940696,item4
sub-control002,control,T0,trial19,965.2540369940696,item4
sub-control002,control,T0,trial20,985.2540369940696,item4
sub-control002,control,T1,trial1,771.4142334161056,item1
sub-control002,control,T1,trial2,771.4142334161056,item1
sub-control002,control,T1,trial3,781.4142334161056,item1
sub-control002,control,T1,trial4,781.4142334161056,item1
sub-control002,control,T1,trial5,781.4142334161056,item1
sub-control002,control,T1,trial6,791.4142334161056,item2
sub-control002,control,T1,trial7,791.4142334161056,item2
sub-control002,control,T1,trial8,791.4142334161056,item2
sub-control002,control,T1,trial9,791.4142334161056,item2
sub-control002,control,T1,trial10,801.4142334161056,item2
sub-control002,control,T1,trial11,801.4142334161056,item3
sub-control002,control,T1,trial12,801.4142334161056,item3
sub-control002,control,T1,trial13,811.4142334161056,item3
sub-control002,control,T1,trial14,811.4142334161056,item3
sub-control002,control,T1,trial15,811.4142334161056,item3
sub-control002,control,T1,trial16,821.4142334161056,item4
sub-control002,control,T1,trial17,821.4142334161056,item4
sub-control002,control,T1,trial18,821.4142334161056,item4
sub-control002,control,T1,trial19,831.4142334161056,item4
sub-control002,control,T1,trial20,851.4142334161056,item4
sub-test002,test,T0,trial1,886.4982803529783,item1
sub-test002,test,T0,trial2,886.4982803529783,item1
sub-test002,test,T0,trial3,896.4982803529783,item1
sub-test002,test,T0,trial4,896.4982803529783,item1
sub-test002,test,T0,trial5,896.4982803529783,item1
sub-test002,test,T0,trial6,906.4982803529783,item2
sub-test002,test,T0,trial7,906.4982803529783,item2
sub-test002,test,T0,trial8,906.4982803529783,item2
sub-test002,test,T0,trial9,906.4982803529783,item2
sub-test002,test,T0,trial10,916.4982803529783,item2
sub-test002,test,T0,trial11,916.4982803529783,item3
sub-test002,test,T0,trial12,916.4982803529783,item3
sub-test002,test,T0,trial13,926.4982803529783,item3
sub-test002,test,T0,trial14,926.4982803529783,item3
sub-test002,test,T0,trial15,926.4982803529783,item3
sub-test002,test,T0,trial16,936.4982803529783,item4
sub-test002,test,T0,trial17,936.4982803529783,item4
sub-test002,test,T0,trial18,936.4982803529783,item4
sub-test002,test,T0,trial19,946.4982803529783,item4
sub-test002,test,T0,trial20,966.4982803529783,item4
sub-test002,test,T1,trial1,548.7806606408677,item1
sub-test002,test,T1,trial2,548.7806606408677,item1
sub-test002,test,T1,trial3,558.7806606408677,item1
sub-test002,test,T1,trial4,558.7806606408677,item1
sub-test002,test,T1,trial5,558.7806606408677,item1
sub-test002,test,T1,trial6,568.7806606408677,item2
sub-test002,test,T1,trial7,568.7806606408677,item2
sub-test002,test,T1,trial8,568.7806606408677,item2
sub-test002,test,T1,trial9,568.7806606408677,item2
sub-test002,test,T1,trial10,578.7806606408677,item2
sub-test002,test,T1,trial11,578.7806606408677,item3
sub-test002,test,T1,trial12,578.7806606408677,item3
sub-test002,test,T1,trial13,588.7806606408677,item3
sub-test002,test,T1,trial14,588.7806606408677,item3
sub-test002,test,T1,trial15,588.7806606408677,item3
sub-test002,test,T1,trial16,598.7806606408677,item4
sub-test002,test,T1,trial17,598.7806606408677,item4
sub-test002,test,T1,trial18,598.7806606408677,item4
sub-test002,test,T1,trial19,608.7806606408677,item4
sub-test002,test,T1,trial20,628.7806606408677,item4
sub-control003,control,T0,trial1,908.8551172391642,item1
sub-control003,control,T0,trial2,908.8551172391642,item1
sub-control003,control,T0,trial3,918.8551172391642,item1
