pax,group,session,trial,rt,item,age
sub-control001,control,T0,trial1,888.9631060884919,item1,7.322857163646601
sub-control001,control,T0,trial2,916.802405763619,item1,7.322857163646601
sub-control001,control,T0,trial3,880.5406327423315,item1,7.322857163646601
sub-control001,control,T0,trial4,884.2776992496748,item1,7.322857163646601
sub-control001,control,T0,trial5,929.4405282391742,item1,7.322857163646601
sub-control001,control,T0,trial6,873.4871586319733,item2,7.322857163646601
sub-control001,control,T0,trial7,872.9006136663565,item2,7.322857163646601
sub-control001,control,T0,trial8,895.1725865421041,item2,7.322857163646601
sub-control001,control,T0,trial9,846.1369349137143,item2,7.322857163646601
sub-control001,control,T0,trial10,878.1623247763533,item2,7.322857163646601
sub-control001,control,T0,trial11,869.2295341771622,item3,7.322857163646601
sub-control001,control,T0,trial12,836.4342150353423,item3,7.322857163646601
sub-control001,control,T0,trial13,853.2384900639911,item3,7.322857163646601
sub-control001,control,T0,trial14,879.9991005073675,item3,7.322857163646601
sub-control001,control,T0,trial15,872.8551641945187,item3,7.322857163646601
sub-control001,control,T0,trial16,892.1149194082727,item4,7.322857163646601
sub-control001,control,T0,trial17,870.0074214085672,item4,7.322857163646601
sub-control001,control,T0,trial18,899.6256010111433,item4,7.322857163646601
sub-control001,control,T0,trial19,869.5323809020214,item4,7.322857163646601
sub-control001,control,T0,trial20,869.8215478264573,item4,7.322857163646601
sub-control001,control,T1,trial1,725.2536139370072,item1,7.322857163646601
sub-control001,control,T1,trial2,753.0929136121343,item1,7.322857163646601
sub-control001,control,T1,trial3,716.8311405908468,item1,7.322857163646601
sub-control001,control,T1,trial4,720.5682070981901,item1,7.322857163646601
sub-control001,control,T1,trial5,765.7310360876895,item1,7.322857163646601
sub-control001,control,T1,trial6,709.7776664804886,item2,7.322857163646601
sub-control001,control,T1,trial7,709.1911215148718,item2,7.322857163646601
sub-control001,control,T1,trial8,731.4630943906194,item2,7.322857163646601
sub-control001,control,T1,trial9,682.4274427622296,item2,7.322857163646601
sub-control001,control,T1,trial10,714.4528326248686,item2,7.322857163646601
sub-control001,control,T1,trial11,705.5200420256775,item3,7.322857163646601
sub-control001,control,T1,trial12,672.7247228838576,item3,7.322857163646601
sub-control001,control,T1,trial13,689.5289979125064,item3,7.322857163646601
sub-control001,control,T1,trial14,716.2896083558828,item3,7.322857163646601
sub-control001,control,T1,trial15,709.145672043034,item3,7.322857163646601
sub-control001,control,T1,trial16,728.405427256788,item4,7.322857163646601
sub-control001,control,T1,trial17,706.2979292570825,item4,7.322857163646601
sub-control001,control,T1,trial18,735.9161088596586,item4,7.322857163646601
sub-control001,control,T1,trial19,705.8228887505367,item4,7.322857163646601
sub-control001,control,T1,trial20,706.1120556749726,item4,7.322857163646601
sub-test001,test,T0,trial1,914.353670223217,item1,16.627399540678038
sub-test001,test,T0,trial2,942.1929698983442,item1,16.627399540678038
sub-test001,test,T0,trial3,905.9311968770567,item1,16.627399540678038
sub-test001,test,T0,trial4,909.6682633844,item1,16.627399540678038
sub-test001,test,T0,trial5,954.8310923738994,item1,16.627399540678038
sub-test001,test,T0,trial6,898.8777227666985,item2,16.627399540678038
sub-test001,test,T0,trial7,898.2911778010817,item2,16.627399540678038
sub-test001,test,T0,trial8,920.5631506768293,item2,16.627399540678038
sub-test001,test,T0,trial9,871.5274990484395,item2,16.627399540678038
sub-test001,test,T0,trial10,903.5528889110785,item2,16.627399540678038
sub-test001,test,T0,trial11,894.6200983118874,item3,16.627399540678038
sub-test001,test,T0,trial12,861.8247791700675,item3,16.627399540678038
sub-test001,test,T0,trial13,878.6290541987163,item3,16.627399540678038
sub-test001,test,T0,trial14,905.3896646420927,item3,16.627399540678038
sub-test001,test,T0,trial15,898.2457283292439,item3,16.627399540678038
sub-test001,test,T0,trial16,917.5054835429978,item4,16.627399540678038
sub-test001,test,T0,trial17,895.3979855432924,item4,16.627399540678038
sub-test001,test,T0,trial18,925.0161651458685,item4,16.627399540678038
sub-test001,test,T0,trial19,894.9229450367466,item4,16.627399540678038
sub-test001,test,T0,trial20,895.2121119611825,item4,16.627399540678038
sub-test001,test,T1,trial1,553.9927133151926,item1,16.627399540678038
sub-test001,test,T1,trial2,581.8320129903198,item1,16.627399540678038
sub-test001,test,T1,trial3,545.5702399690323,item1,16.627399540678038
sub-test001,test,T1,trial4,549.3073064763755,item1,16.627399540678038
sub-test001,test,T1,trial5,594.4701354658749,item1,16.627399540678038
sub-test001,test,T1,trial6,538.516765858674,item2,16.627399540678038
sub-test001,test,T1,trial7,537.9302208930574,item2,16.627399540678038
sub-test001,test,T1,trial8,560.2021937688049,item2,16.627399540678038
sub-test001,test,T1,trial9,511.166542140415,item2,16.627399540678038
sub-test001,test,T1,trial10,543.1919320030541,item2,16.627399540678038
sub-test001,test,T1,trial11,534.2591414038629,item3,16.627399540678038
sub-test001,test,T1,trial12,501.46382226204304,item3,16.627399540678038
sub-test001,test,T1,trial13,518.2680972906918,item3,16.627399540678038
sub-test001,test,T1,trial14,545.0287077340683,item3,16.627399540678038
